ID_station,nom_station,adresse_station,latitude_WSG84,longitude_WSG84,nom_porteur,type_charge,nbre_pdc,type_connecteur,date_maj,observation
TESLA Supercharger Auxerre,TESLA Supercharger Mercure Auxerre Nord,Mercure Auxerre Nord - Route nationale 6 - Lieu dit Le Chaumois -89380 Appoigny,47.85183,3.542802,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Macon,TESLA Supercharger La Vieille Ferme Macon,1 Boulevard du Général de Gaulle - 71000 Sancé,46.346553,4.850173,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Chalons en Champagne,TESLA Supercharger Auberge des Moissons Matougues,8 Route Nationale - 51510 Matougues ,48.991919,4.245022,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Chambéry,TESLA Supercharger Chamnord Chambéry,1097 Avenue Des Landiers - 73000 Chambéry,45.592227,5.899842,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Fréjus,TESLA Supercharger Le Clos des Roses Fréjus,Domaine Le Clos des Roses - 1609 Route de Malpasset - RD37 - Lieu-dit Sainte Brigitte - 83600 Frejus,43.458985,6.746399,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Narbonne,TESLA Supercharger Novotel Narbonne,130 Rue de L’Hôtellerie - 11100 Narbonne,43.167686,2.986016,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Nimes,TESLA Supercharger C-suite Nimes,152 rue Claude Nicolas Ledoux - 30900 Nimes,43.815364,4.344721,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Vienne,TESLA Supercharger Ibis Lyon Sud,145 rue Pasteur - 38670 Chasse-sur-Rhône,45.58693,4.787807,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Metz,TESLA Supercharger CC Leclerc Hauconcourt,rue de Maizières-les-Metz - 57280 Hauconcourt,49.216414,6.170791,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Archamps,TESLA Supercharger Best Western Porte Sud de Genève,"Route de Chosal, 74160 Archamps",46.136916,6.1243,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Senlis,TESLA Supercharger IBIS Senlis,"72 Avenue du General de Gaulle, 60300 Senlis",49.20858,2.605978,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Tours,TESLA Supercharger ArtHotel Tours,"19 Quai de la Loire, 37210 Rochecorbon",47.407325,0.744827,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Orange,TESLA Supercharger CC Orange Les Vignes,"Rue Cinsault, 84100 Orange ",44.112164,4.851759,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Saintes,TESLA Supercharger Le Relais du bois Saint Georges - Saintes,"132 Cours Genet, 17100 Saintes ",45.750012,-0.661725,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Nancy,TESLA Supercharger IBIS styles Nancy Sud,"8 Allée de la Genelière, 54180 Houdemont",48.638215,6.184349,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Toulouse,TESLA Supercharger Hôtel Eurocentre Toulouse,"Avenue de Saint Guillan, 31620 Castelnau-d'Estrétefonds",43.769334,1.361378,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Brive-la-Gaillarde,TESLA Supercharger Mercure Brive-la-Gaillarde,"Le Griffolet, 19270 Ussac",45.16724,1.483119,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Calais,TESLA Supercharger Haut'Aile Calais,"ZAC Les Terrasses, Rue des Longues Pièces, 62231 Coquelles ",50.924335,1.803888,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Le Mans,TESLA Supercharger CC Auchan Le Mans,"ZAC du Moulin aux Moines La Chapelle, 72650 St Aubin",48.041807,0.175331,TESLA MOTORS,rapide - Supercharger,2,T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Calais - Eurotunnel,TESLA Supercharger Terminal Eurotunnel,"Eurotunnel France terminal, Boulevard de l'Europe, 62231 Coquelles",50.934207,1.810584,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Rennes,TESLA Supercharger Novotel Rennes Alma,"Allée d'Ukraine, 35200 Rennes",48.081796,-1.684341,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Mulhouse,TESLA Supercharger Golden Tulip Mulhouse,"26 Route départementale 201, 68390 Sausheim",47.781956,7.388082,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Rungis,TESLA Supercharger Novotel Rungis Orly,"1 Rue du pont des halles, 94150 Rungis",48.754477,2.351061,TESLA MOTORS,rapide - Supercharger,6,T2-T2-T2-T2-T2-T2  ,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Lille,TESLA Supercharger Novotel Lille-Lesquin,"55 route de Douai, 59810 Lille",50.584316,3.089573,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Bordeaux,TESLA Supercharger Novotel Bordeaux-Merignac,"80 Avenue J. F. Kennedy, 33700 Merignac",44.834142,-0.68083,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Valence,TESLA Supercharger Novotel Valence,"217 Avenue de Provence, 26000 Valence",44.919018,4.878134,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Beaune,TESLA Supercharger Mercure Beaune,"7 Avenue Charles de Gaulle, 21200 Beaune",47.0075,4.849253,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Aix-en-provence,TESLA Supercharger Novotel Aix-en-Provence Pont de l'Arc,"Avenue Arc de Meyran, 13100 Aix-en-Provence",43.510682,5.456493,TESLA MOTORS,rapide - Supercharger,4,T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
TESLA Supercharger Nantes,TESLA Supercharger Westotel Nantes-La Chapelle sur Erdre,"34 rue de la Vrière, 44240 La Chapelle-sur-Erdre",47.282635,-1.550287,TESLA MOTORS,rapide - Supercharger,8,T2-T2-T2-T2-T2-T2-T2-T2,6 janvier 2016,Compatible uniquement avec les Model S Tesla
,,,,,,,,,,
